"continent","country","total_deaths","cases_reported","death_rate_percentage"
"Asia","Yemen","1632414","8527473","19.1429981660452047"
"Africa","Sudan","3464515","46548150","7.4428629279573947"
"South America","Peru","182500410","2739031136","6.6629549259713125"
"North America","Mexico","268855099","4424502128","6.0765051348620348"
"Asia","Syria","2233500","38310228","5.8300357805231543"
"Africa","Egypt","18589737","362260788","5.1315896215629057"
"Africa","Somalia","971286","19335742","5.0232672736324264"
"South America","Ecuador","28389121","641832183","4.4231376599574472"
"Europe","Bosnia and Herzegovina","11231740","269471360","4.1680644651810122"
"Africa","Liberia","229480","5505939","4.1678631020067603"
"Asia","Afghanistan","5853761","141579575","4.1346083995519834"
"Africa","Niger","247304","6834123","3.6186647504003074"
"Europe","Bulgaria","24959467","753874659","3.3108245120094957"
"Asia","Myanmar","13009355","409439213","3.1773593214678243"
"Africa","Malawi","1877996","59448676","3.1590207324381791"
"Africa","Chad","173673","5625423","3.0872878359547362"
"Europe","North Macedonia","6697373","221533145","3.0231923083112462"
"Africa","Gambia","275268","9144015","3.0103625158095213"
"South America","Paraguay","13376760","467222604","2.8630378507971331"
"Africa","Tunisia","20194604","707085660","2.8560335957032420"
"Africa","South Africa","76908981","2832987163","2.7147663076085742"
"Africa","Mali","567404","21050622","2.6954262919166949"
"Asia","Indonesia","109196458","4063839998","2.6870265082715001"
"Africa","Algeria","5271548","197407105","2.6703942596189737"
"South America","Bolivia","17585901","669469463","2.6268413978428169"
"Europe","Hungary","32872791","1263945067","2.6008085207392957"
"North America","Haiti","619281","24060242","2.5738768546052031"
"North America","Honduras","8329827","328061814","2.5391028899206172"
"North America","El Salvador","3125781","124372243","2.5132464644864530"
"North America","Trinidad and Tobago","2312665","93786291","2.4658881115151467"
"Africa","Zimbabwe","3769244","154783408","2.4351731549934603"
"South America","Colombia","108259506","4552575983","2.3779835065742383"
"Africa","Namibia","2708332","113920498","2.3773877814333291"
"Asia","Sri Lanka","10185441","431346523","2.3613128788336147"
"Europe","Romania","45605161","1943181848","2.3469322259745605"
"Africa","Senegal","1493207","64474931","2.3159497448706072"
"Africa","Comoros","129365","5610574","2.3057355628853661"
"North America","Bahamas","542268","23558021","2.3018402097527632"
"Africa","Tanzania","520137","22756534","2.2856600218644896"
"Africa","Lesotho","499810","22014899","2.2703261096042276"
"South America","Brazil","525115214","23155017420","2.2678247417185489"
"North America","Jamaica","2031132","90969621","2.2327585601351467"
"Europe","Moldova","8369730","376390162","2.2236845818515310"
"Asia","Cambodia","1912905","87075039","2.1968465612745807"
"Europe","Ukraine","72600275","3345296034","2.1702197432491859"
"Africa","Eswatini","1016841","47002027","2.1633981870611665"
"Asia","Iran","108495584","5022488951","2.1601955735193413"
"Africa","Uganda","2398449","113058410","2.1214246688946006"
"North America","Guatemala","13472111","645211267","2.0880154592836644"
"Europe","Russia","247174540","11976688361","2.0637970409656884"
"Europe","Poland","82362670","4001119274","2.0584907462071324"
"Asia","Pakistan","23920991","1163873167","2.0552919062185064"
"Africa","Madagascar","982639","47916458","2.0507338000651050"
"Africa","Angola","1336477","65790106","2.0314255155630848"
"Asia","Armenia","6185175","310103521","1.9945516839197708"
"South America","Guyana","816968","41291015","1.9785611954562028"
"Africa","Guinea-Bissau","124004","6309539","1.9653416834415319"
"North America","Nicaragua","214319","10974300","1.9529172703498173"
"Africa","Mauritania","766990","40746050","1.8823665116005110"
"Africa","Sierra Leone","113050","6080593","1.8591936674597362"
"North America","Antigua and Barbuda","88171","4800206","1.8368170032702763"
"South America","Suriname","882458","48659576","1.8135340924466748"
"Africa","Democratic Republic of Congo","1119242","62304023","1.7964201123898532"
"Africa","Kenya","4234251","239835286","1.7654829156373596"
"Africa","Burkina Faso","268526","15793333","1.7002490861175409"
"South America","Argentina","101872534","6222601356","1.6371373991646075"
"Asia","Philippines","40993313","2505654142","1.6360323762512312"
"Africa","Cameroon","1477512","90910695","1.6252345227368463"
"South America","Chile","41550621","2636136293","1.5761939589517271"
"Africa","Ethiopia","5447007","348291224","1.5639231265844356"
"Africa","Congo","273539","17575774","1.5563411318329423"
"Europe","Croatia","11040158","716341482","1.5411864700584239"
"Asia","Bangladesh","21717179","1421461731","1.5278060975107602"
"Asia","Kyrgyzstan","2396099","157520801","1.5211318027769552"
"Europe","Kosovo","2486528","167547725","1.4840714787383714"
"North America","Saint Lucia","231050","15598485","1.4812335941599457"
"North America","Grenada","131456","9201867","1.4285796567153166"
"Africa","Morocco","12367185","871668574","1.4187944098120027"
"Oceania","Papua New Guinea","389542","27665186","1.4080584891061278"
"Asia","Kazakhstan","13200363","946516349","1.3946259897091329"
"Europe","Slovakia","13928011","1001610880","1.3905610729787600"
"Africa","Libya","4518851","336292124","1.3437278715453949"
"Africa","Zambia","2851366","214488669","1.32937838315365740835"
"Asia","Saudi Arabia","8213685","621414243","1.3217728902296821"
"Europe","Albania","2676483","203033600","1.31824633952212835708"
"Africa","Sao Tome and Principe","54005","4103082","1.3162057204803609"
"North America","United States","772186605","58705027513","1.3153670779372385"
"North America","Canada","32629368","2497374828","1.3065466839085158"
"Europe","United Kingdom","172108888","13450778465","1.2795459270096603"
"Africa","Nigeria","2572567","202722637","1.26900825584663246069"
"Oceania","Fiji","515120","40593473","1.2689724774226635"
"Asia","Azerbaijan","6803194","538179011","1.2641135869195018"
"North America","Belize","476714","37933603","1.2567063561033208"
"Asia","India","393606434","31549254552","1.2475934521725431"
"Asia","Nepal","8791089","708639760","1.2405582492294816"
"Africa","Djibouti","154160","12678559","1.2159110510902698"
"Asia","Oman","3571335","295194568","1.2098240913430358"
"Africa","Equatorial Guinea","149939","12454425","1.2039014245940700"
"Europe","Italy","138190376","11479803310","1.2037695443755822"
"Europe","Spain","93626212","7864762142","1.1904519209806765"
"Asia","Iraq","20513320","1742244643","1.1774075519427498"
"North America","Saint Vincent and the Grenadines","63554","5402916","1.1762907289323025"
"Europe","Montenegro","1957134","168988260","1.15814790920978770951"
"Africa","Rwanda","975218","84899821","1.1486690884778191"
"Europe","Czechia","30765874","2706849196","1.1365935732756647"
"North America","Panama","6887550","613645066","1.12239963809959159681"
"South America","Venezuela","4041384","370562619","1.0906075769072649"
"Europe","Belgium","27669766","2544298235","1.0875205437541798"
"Africa","Guinea","315950","29218234","1.0813452996508961"
"Asia","Georgia","10552883","1001642183","1.05355816469243088976"
"Africa","Mozambique","1532183","149504988","1.02483737866993441048"
"Europe","Sweden","16542869","1622937101","1.01931670610073754177"
"Asia","Lebanon","7754805","762470012","1.01706360616842200477"
"North America","Sint Maarten (Dutch part)","63115","6295814","1.0024914967310025"
"Oceania","Guam","255155","25812285","0.98850218026029078789"
"North America","Bermuda","88090","8968866","0.98217545005132198430"
"Africa","Botswana","1830627","191473753","0.95607203144965775022"
"North America","British Virgin Islands","36631","3840496","0.95380909132570376326"
"North America","Costa Rica","6128340","646358546","0.94813320531233449492"
"Asia","Jordan","10218557","1085706259","0.94118983982020131285"
"Oceania","French Polynesia","433115","47005217","0.92141899908684604094"
"Africa","South Sudan","119252","13004239","0.91702405654033273304"
"South America","Uruguay","5042707","554324144","0.90970365526781023632"
"Europe","Lithuania","6150558","680608275","0.90368545695392845466"
"Europe","Slovenia","5810006","645152771","0.90056282188703487720"
"Asia","Palestine","4142681","460140779","0.90030729486812121905"
"Africa","Cote d'Ivoire","563781","62815641","0.89751690984097416120"
"North America","Dominican Republic","3841295","435824510","0.88138572105547712312"
"Africa","Eritrea","59722","6785943","0.88008402074700597986"
"Europe","San Marino","100493","11546651","0.87032161966270566245"
"Europe","Greece","19963288","2326187783","0.85819761181335376311"
"Europe","Malta","523032","62480648","0.83711039616618572842"
"Africa","Central African Republic","99130","11890166","0.83371418027300880408"
"Africa","Ghana","1056312","127622468","0.82768498098626332786"
"Asia","Malaysia","21749155","2652082135","0.82007848523891964605"
"Africa","Togo","202223","24874162","0.81298417208989794309"
"Europe","Latvia","3786563","465867647","0.81279801771682161908"
"Europe","Serbia","10882203","1365800945","0.79676346980415949266"
"North America","Cuba","5402872","686280172","0.78726913882046412963"
"Europe","Gibraltar","84770","11025907","0.76882563946893439243"
"North America","Puerto Rico","3492439","462840379","0.75456661917563592696"
"Asia","Thailand","17524387","2355677652","0.74392126550598188550"
"Africa","Cape Verde","304428","40966251","0.74311901276980410045"
"North America","Montserrat","3595","489382","0.73459996485363172328"
"Europe","Belarus","4739111","647381238","0.73204330336184379814"
"North America","Saint Kitts and Nevis","23984","3337398","0.71864368588942643341"
"Oceania","Solomon Islands","65670","9142652","0.71828174144657370750"
"Asia","Tajikistan","115966","16247656","0.71373987730907153623"
"Europe","Germany","110348028","15841112560","0.69659266406980192558"
"Asia","Turkey","68280642","9834572787","0.69429189735885575687"
"Africa","Benin","127980","18451022","0.69362011491829558276"
"Asia","Uzbekistan","1202320","173979086","0.69107156937242445336"
"North America","Curacao","177318","25696757","0.69004038136018486691"
"Europe","Portugal","18425772","2701607027","0.68203005899273595575"
"Europe","Ireland","6073877","894762132","0.67882588933703332005"
"Europe","France","119584298","17627808457","0.67838437371103322739"
"North America","Guadeloupe","636921","95098719","0.66974719186280521823"
"North America","Aruba","163061","24349258","0.66967543733776199669"
"North America","United States Virgin Islands","78058","12080280","0.64616051945815825461"
"Africa","Gabon","218841","34240374","0.63913145341227873270"
"North America","Turks and Caicos Islands","25005","4006982","0.62403574560604464907"
"Europe","Liechtenstein","63278","10175617","0.62185909709455456116"
"Africa","Mayotte","157301","26616675","0.59098666531413108512"
"North America","Martinique","595839","101006070","0.58990415130496612728"
"Europe","Austria","14879191","2534312284","0.58710961131102657750"
"North America","Barbados","265126","45364885","0.58443000571918125660"
"Asia","Timor","82295","14709542","0.55946677333665453350"
"Europe","Finland","3444774","615907288","0.55930073683427496640"
"Europe","Luxembourg","871688","159025516","0.54814348157813869316"
"Europe","Estonia","1730587","325591871","0.53152033393364418487"
"Oceania","New Caledonia","175695","33523199","0.52409974358354046104"
"Europe","Monaco","40634","7770949","0.52289623828441030819"
"Europe","Switzerland","10969763","2152835722","0.50954946946945912857"
"North America","Saint Martin (French part)","32609","6461761","0.50464571499936317669"
"Oceania","Wallis and Futuna","4935","980289","0.50342297016492075296"
"Europe","Andorra","135313","27147853","0.49842983900052796072"
"South America","French Guiana","271730","55782506","0.48712404566406536128"
"North America","Dominica","36423","7481562","0.48683683968668574824"
"Asia","Vietnam","23583798","4948941510","0.47654226570158029611"
"Asia","Kuwait","2063185","449271213","0.45922928963623582978"
"Africa","Mauritius","529383","124933074","0.42373327018272199082"
"Europe","Netherlands","19036718","4512354940","0.42187988873056160782"
"Europe","Isle of Man","76514","18333711","0.41734049369492079372"
"North America","Bonaire Sint Eustatius and Saba","23297","5633336","0.41355601725158946670"
"Oceania","American Samoa","12714","3086883","0.41187178134059502741"
"Africa","Seychelles","104131","27149461","0.38354720927977170523"
"Oceania","Kiribati","6365","1675322","0.37992696329422045434"
"Europe","Jersey","100309","29623241","0.33861588608754862441"
"Asia","Israel","8264166","2485219537","0.33253263452032809285"
"Oceania","Northern Mariana Islands","19120","5905597","0.32376066297784965686"
"Asia","Laos","332273","104235499","0.31877143889338506453"
"Europe","Norway","2220479","728622538","0.30475024916124677988"
"North America","Anguilla","5309","1793344","0.29603913136576139324"
"Asia","Bahrain","1149229","394512232","0.29130376875107892726"
"Asia","Japan","26420173","9178762457","0.28784025214478867301"
"Europe","Denmark","4364376","1626778681","0.26828332894780540833"
"Asia","United Arab Emirates","1853569","710714862","0.26080346691835466359"
"Oceania","Micronesia (country)","14152","5558703","0.25459176358226010636"
"Europe","Guernsey","35836","14168847","0.25292107395894669482"
"Europe","Cyprus","700862","289327924","0.24223793898303435102"
"Asia","Mongolia","1286533","544293607","0.23636746481205685004"
"Africa","Reunion","482359","216497357","0.22280133424446377883"
"Asia","Maldives","213705","109805002","0.19462228141483026429"
"Oceania","Samoa","10830","5972415","0.18133368160116133926"
"Asia","Qatar","550351","309461861","0.17784130109655095753"
"Oceania","Australia","6993056","3982031358","0.17561529207826996726"
"Asia","China","24528300","14589938311","0.16811791439520364124"
"North America","Greenland","9355","5811660","0.16096949924806337604"
"Oceania","Palau","3171","2403272","0.13194511482678614822"
"Asia","South Korea","13106120","10167145341","0.12890658646481918134"
"Oceania","Vanuatu","5351","4443029","0.12043585580917882823"
"North America","Cayman Islands","15822","13693047","0.11554769365795647966"
"Oceania","New Zealand","806587","703289466","0.11468776926057356872"
"Europe","Iceland","103054","93309696","0.11044297047115017929"
"Oceania","Marshall Islands","4399","4020735","0.10940785702116652801"
"North America","Saint Barthelemy","2852","2772593","0.10286399770900380979"
"Asia","Singapore","783373","850096818","0.09215103308385751422"
"Europe","Faeroe Islands","14185","16582439","0.08554230170845193521"
"Oceania","Tonga","4740","5915812","0.08012425006068482230"
"Asia","Brunei","66130","96602082","0.06845608151592426341"
"North America","Saint Pierre and Miquelon","613","1337141","0.04584408076635149173"
"Africa","Burundi","10665","26250778","0.04062736731078979831"
"Asia","Bhutan","9368","25787015","0.03632836138653504487"
"Oceania","Nauru","307","1488455","0.02062541360000806205"
"Oceania","Cook Islands","487","2492308","0.01954012104442950069"
"Oceania","Pitcairn",NULL,"1156",NULL
"Europe","Northern Ireland",NULL,NULL,NULL
"Africa","Saint Helena",NULL,"474776",NULL
"Asia","Hong Kong",NULL,NULL,NULL
"Asia","North Korea",NULL,NULL,NULL
"Asia","Taiwan",NULL,NULL,NULL
"Oceania","Tuvalu",NULL,"475851",NULL
"South America","Falkland Islands",NULL,"705714",NULL
"Europe","England",NULL,NULL,NULL
"Oceania","Tokelau",NULL,"715",NULL
"Europe","Scotland",NULL,NULL,NULL
"Africa","Western Sahara",NULL,NULL,NULL
"Europe","Vatican",NULL,"26500",NULL
"Asia","Macao",NULL,NULL,NULL
"Asia","Northern Cyprus",NULL,NULL,NULL
"Oceania","Niue",NULL,"110095",NULL
"Asia","Turkmenistan",NULL,NULL,NULL
"Europe","Wales",NULL,NULL,NULL
